title,date,desc
Hack the Valley, "February, 2020","Built a demo for [OpenED](https://opened.tech) – a platform for students to voice their opinions – at University of Toronto's hackathon"
Hack the North,"September, 2019","Attended [Canada's largest hackathon](https://hackthenorth.com/) held at the University of Waterloo"
100 Days of Running,"May, 2019",Completed the [100 Days of Running challenge](https://100daysofrunning.in/) and received a platinum medal.
3rd Place at Startup Weekend,"November, 2018","Presented StoAR at the 54-hour [Startup Weekend](https://bit.ly/2QMCQOf). The demo was pitched to a panel of judges, including an investor from Dragon's Den, and received third place."
First Place Pitch at Hackathon,"September, 2018","Came first for pitching [Mathu](https://mathu.cf) at the 24-hour Imagine Hackathon in Brampton"
Basic Aviation,"August, 2018","Successfully completed a 3-week summer training course at CFB Trenton as a cadet in the Aviation Wing"
First Place in Gauss,"May, 2017","Ranked first place from my school *Allan A. Martin*, for writing the Gauss Math Contest"
App of the Month,"January, 2017","Received the [Most Creative App of the Month](https://web.archive.org/web/20170204071134/http://appinventor.mit.edu/explore/app-month-gallery.html) from MIT App Inventor for my app [Spellbind](https://go.param.me/spellbind)"
